gene	chrom	start	end	strand
ACAD10	12	112123856	112194903	+
ACAD11	3	132276981	132378975	-
ACAD8	11	134123461	134135746	+
ACAD9	3	128598332	128631957	+
ACADL	2	211052646	211090171	-
ACADM	1	76190031	76229363	+
ACADS	12	121163628	121177811	+
ACADSB	10	124768521	124817831	+
ACADVL	17	7120443	7128586	+
ACAN	15	89346666	89418585	+
ACAP1	17	7239847	7254796	+
ACAP2	3	194995473	195163749	-
ACAP3	1	1227770	1243310	-
ACAT1	11	107992293	108018328	+
ACAT2	6	160183076	160200144	+
ACBD3	1	226332379	226374442	-
ACBD3-AS1	1	226335703	226342678	+
ACBD4	17	43209985	43221543	+
ACBD5	10	27471766	27531040	-
ACBD6	1	180257364	180471712	-
ACBD7	10	15117473	15130775	-
ACBD7-DCLRE1CP1	10	15057070	15130775	-
ACCS	11	44087819	44105786	+
ACCSL	11	44069530	44081527	+
ACD	16	67691414	67694163	-
ACE	17	61554421	61575734	+
ACE2	X	15579155	15620281	-
ACER1	19	6306152	6333623	-
ACER2	9	19409006	19452502	+
ACER3	11	76571961	76737841	+
ACHE	7	100487614	100494614	-
ACIN1	14	23527773	23564823	-
ACKR1	1	159174664	159176290	+
ACKR2	3	42850936	42908778	+
ACKR3	2	237478467	237490994	+
ACKR4	3	132316113	132321485	+
ACLY	17	40023169	40075275	-
ACMSD	2	135596185	135659602	+
ACO1	9	32384600	32454766	+
ACO2	22	41865120	41924978	+
ACOD1	13	77522645	77532773	+
ACOT1	14	74003846	74010500	+
ACOT11	1	55013900	55104865	+
ACOT12	5	80625814	80689953	-
ACOT13	6	24667262	24705295	+
ACOT2	14	74034323	74042362	+
ACOT4	14	74058409	74062471	+
ACOT6	14	74077648	74086592	+
ACOT7	1	6324331	6453827	-
ACOT8	20	44470359	44486031	-
ACOT9	X	23719173	23761393	-
ACOX1	17	73937591	73975247	-
ACOX2	3	58490862	58522917	-
ACOX3	4	8368008	8442450	-
ACOXL	2	111490149	111876125	+
ACOXL-AS1	2	111855917	111873165	-
ACP1	2	264868	278282	+
ACP2	11	47260852	47270398	-
ACP3	3	132036250	132087146	+
ACP4	19	51293671	51298476	+
ACP5	19	11685474	11689790	-
ACP6	1	147114028	147142646	-
ACP7	19	39575007	39602132	+
ACR	22	51176631	51183767	+
ACRBP	12	6747240	6756598	-
ACRV1	11	125541416	125550742	-
ACSBG1	15	78459809	78526907	-
ACSBG2	19	6135643	6193114	+
ACSF2	17	48503518	48552206	+
ACSF3	16	89160259	89222641	+
ACSL1	4	185676748	185747122	-
ACSL3	2	223725753	223809356	+
ACSL4	X	108884563	108976621	-
ACSL5	10	114133873	114188138	+
ACSL6	5	131285666	131347761	-
ACSM1	16	20634556	20709110	-
ACSM2A	16	20462842	20498991	+
ACSM2B	16	20547552	20587689	-
ACSM3	16	20775311	20808903	+
ACSM4	12	7456927	7480969	+
ACSM5	16	20420855	20452658	+
ACSM6	10	96953956	96988686	+
ACSS1	20	24986865	25038818	-
ACSS2	20	33462765	33515769	+
ACSS3	12	81471857	81654989	+
ACTA1	1	229566992	229569841	-
ACTA2	10	90694830	90751154	-
ACTA2-AS1	10	90692440	90699731	+
ACTB	7	5566778	5570232	-
ACTBL2	5	56775844	56778638	-
ACTC1	15	35082430	35087750	-
ACTE1P	11	71116791	71134400	-
ACTG1	17	79476996	79479825	-
ACTG1P17	15	83394649	83408532	-
ACTG1P20	1	27650364	27653016	+
ACTG1P25	1	202830881	202844369	+
ACTG1P4	1	104112025	104114008	+
ACTG2	2	74120134	74146991	+
ACTL10	20	32254748	32256331	+
ACTL6A	3	179280667	179306195	+
ACTL6B	7	100240725	100254071	-
ACTL7A	9	111624545	111626036	+
ACTL7B	9	111616868	111618266	-
ACTL8	1	18081827	18153558	+
ACTL9	19	8807749	8809145	-
ACTN1	14	69340844	69446019	-
ACTN1-AS1	14	69446398	69454180	+
ACTN2	1	236849753	236927927	+
ACTN3	11	66313865	66330805	+
ACTN4	19	39138288	39222229	+
ACTR10	14	58666866	58702353	+
ACTR1A	10	104238985	104262469	-
ACTR1B	2	98272401	98280507	-
ACTR2	2	65454828	65498387	+
ACTR3	2	114647510	114720173	+
ACTR3-AS1	2	114588759	114648569	-
ACTR3B	7	152456833	152552464	+
ACTR3BP2	2	92129158	92130496	+
ACTR3BP5	10	38989726	38991371	+
ACTR3C	7	149578447	150020758	-
ACTR5	20	37377102	37401162	+
ACTR6	12	100593864	100618202	+
ACTR8	3	53901093	53916179	-
ACTRT1	X	127184940	127186382	-
ACTRT2	1	2938030	2939467	+
ACTRT3	3	169484710	169487349	-
ACVR1	2	158592958	158732842	-
ACVR1B	12	52345482	52390863	+
ACVR1C	2	158383278	158485376	-
ACVR2A	2	148602085	148688396	+
ACVR2B	3	38495380	38534633	+
ACVR2B-AS1	3	38492517	38496311	-
ACVRL1	12	52301287	52317145	+
ACY1	3	52017550	52023213	+
ACY3	11	67410025	67418201	-
ACYP1	14	75519945	75536193	-
ACYP2	2	54198249	54532435	+
ADA	20	43248159	43280399	-
ADA2	22	17659679	17702738	-
ADAD1	4	123300165	123350939	+
ADAD2	16	84224762	84230772	+
ADAL	15	43622548	43646767	+
ADAM10	15	58881007	59041906	-
ADAM11	17	42836355	42859214	+
ADAM12	10	127700960	128077046	-
ADAM15	1	155023791	155035251	+
ADAM17	2	9628614	9695959	-
ADAM18	8	39442086	39587584	+
ADAM19	5	156904311	157002783	-
ADAM2	8	39601254	39695746	-
ADAM20	14	70989074	71001721	-
ADAM20P1	14	70935595	70950473	-
ADAM21	14	70918890	70926622	+
ADAM21P1	14	70712469	70714518	-
ADAM22	7	87563457	87832204	+
ADAM23	2	207308255	207485851	+
ADAM28	8	24151552	24216527	+
ADAM29	4	175839508	175899331	+
ADAM30	1	120436155	120439138	-
ADAM32	8	38965047	39142436	+
ADAM33	20	3648621	3662657	-
ADAM3A	8	39308563	39380508	-
ADAM3B	16	49551556	49552496	-
ADAM5	8	39172181	39260375	+
ADAM6	14	106435817	106438358	-
ADAM7	8	24298538	24367077	+
ADAM8	10	135075926	135090372	-
ADAM9	8	38854491	38962779	+
ADAMDEC1	8	24241797	24263526	+
ADAMTS1	21	28208073	28217728	-
ADAMTS10	19	8645123	8675600	-
ADAMTS12	5	33523639	33892095	-
ADAMTS13	9	136279456	136324508	+
ADAMTS14	10	72432261	72522195	+
ADAMTS15	11	130318868	130346540	+
ADAMTS16	5	5140442	5320417	+
ADAMTS17	15	100511641	100882180	-
ADAMTS18	16	77316024	77468931	-
ADAMTS19	5	128795990	129074376	+
ADAMTS19-AS1	5	128795251	128796382	-
ADAMTS2	5	178537853	178772462	-
ADAMTS20	12	43747668	43946006	-
ADAMTS3	4	73146685	73434938	-
ADAMTS4	1	161154091	161168844	-
ADAMTS5	21	28290240	28339407	-
ADAMTS6	5	64444564	64777747	-
ADAMTS7	15	79051548	79103806	-
ADAMTS7P1	15	82585620	82924242	+
ADAMTS8	11	130274817	130298504	-
ADAMTS9	3	64501330	64673676	-
ADAMTS9-AS1	3	64547021	64575760	+
ADAMTS9-AS2	3	64670545	64997146	+
ADAMTSL1	9	18474150	18910947	+
ADAMTSL2	9	136397285	136440641	+
ADAMTSL3	15	84322874	84708593	+
ADAMTSL4	1	150521883	150533412	+
ADAMTSL4-AS1	1	150533370	150547028	-
ADAMTSL5	19	1505020	1513018	-
ADAP1	7	937536	995043	-
ADAP2	17	29248753	29286340	+
ADAR	1	154554533	154600473	-
ADARB1	21	46494492	46646478	+
ADARB2	10	1223252	1779719	-
ADARB2-AS1	10	1568824	1599203	+
ADAT1	16	75630765	75657179	-
ADAT2	6	143743968	143771832	-
ADAT3	19	1905397	1913446	+
ADCK1	14	78266451	78401357	+
ADCK2	7	140372744	140394910	+
ADCK5	8	145597735	145618453	+
ADCY1	7	45613738	45762714	+
ADCY10	1	167778622	167883372	-
ADCY10P1	6	41068772	41108573	+
ADCY2	5	7396250	7830194	+
ADCY3	2	25042038	25143106	-
ADCY4	14	24787564	24804277	-
ADCY5	3	123001142	123167937	-
ADCY6	12	49159978	49182872	-
ADCY6-DT	12	49182929	49184318	+
ADCY7	16	50300461	50352045	+
ADCY8	8	131792546	132053155	-
ADCY9	16	4012654	4166443	-
ADCYAP1	18	904871	912173	+
ADCYAP1R1	7	31091922	31151093	+
ADD1	4	2845570	2931802	+
ADD2	2	70883915	70995332	-
ADD3	10	111756130	111895323	+
ADD3-AS1	10	111705316	111768139	-
ADGB	6	146920107	147136597	+
ADGRA1	10	134901427	134945179	+
ADGRA1-AS1	10	134898752	134900201	-
ADGRA2	8	37654400	37702414	+
ADGRA3	4	22388998	22517689	-
ADGRB1	8	143531009	143626368	+
ADGRB2	1	32192717	32229941	-
ADGRB3	6	69345173	70099398	+
ADGRD1	12	131438451	131626013	+
ADGRD1-AS1	12	131475170	131478521	-
ADGRE1	19	6887589	6940461	+
ADGRE2	19	14843203	14889372	-
ADGRE3	19	14729928	14785730	-
ADGRE4P	19	6952510	6990857	-
ADGRE5	19	14491955	14519537	+
ADGRF1	6	46965444	47010068	-
ADGRF2	6	47624207	47665530	+
ADGRF3	2	26531040	26569657	-
ADGRF4	6	47666315	47689750	+
ADGRF5	6	46820260	46922676	-
ADGRF5-AS1	6	46871207	46877764	+
ADGRG1	16	57653649	57699479	+
ADGRG2	X	19007424	19140755	-
ADGRG3	16	57702217	57723290	+
ADGRG4	X	135383121	135499049	+
ADGRG5	16	57576554	57611100	+
ADGRG6	6	142623055	142767403	+
ADGRG7	3	100328444	100414325	+
ADGRL1	19	14258554	14316981	-
ADGRL2	1	81771876	82459616	+
ADGRL3	4	62066947	62944053	+
ADGRL3-AS1	4	62937472	63027483	-
ADGRL4	1	79355448	79472415	-
ADGRV1	5	89854613	90460254	+
ADH1A	4	100197525	100212142	-
ADH1B	4	100226127	100242558	-
ADH1C	4	100257653	100273903	-
ADH4	4	100044807	100065449	-
ADH5	4	99992129	100009939	-
ADH6	4	100123795	100140403	-
ADH7	4	100333417	100356667	-
ADHFE1	8	67344738	67381141	+
ADI1	2	3501136	3523302	-
ADIG	20	37209839	37217106	+
ADIPOQ	3	186560498	186576252	+
ADIPOQ-AS1	3	186569675	186579157	-
ADIPOR1	1	202909952	202927700	-
ADIPOR2	12	1800235	1897839	+
ADIRF	10	88728238	88730672	+
ADK	10	75910978	76469048	+
ADM	11	10326619	10328944	+
ADM2	22	50919971	50924866	+
ADM5	19	50191941	50194247	+
ADNP	20	49505454	49547974	-
ADNP-AS1	20	49547520	49561671	+
ADNP2	18	77867145	77898228	+
ADO	10	64564479	64568239	+
ADORA1	1	203096853	203136533	+
ADORA2A	22	24819564	24838328	+
ADORA2A-AS1	22	24825175	24891042	-
ADORA2B	17	15848230	15879210	+
ADORA3	1	112042050	112046255	-
ADPGK	15	73043634	73076099	-
ADPGK-AS1	15	73075175	73090540	+
ADPRH	3	119298338	119308792	+
ADPRHL1	13	114076259	114107803	-
ADPRM	17	10600910	10614875	+
ADPRS	1	36554492	36559533	+
ADRA1A	8	26605666	26724795	-
ADRA1B	5	159343488	159400019	+
ADRA1D	20	4201276	4229934	-
ADRA2A	10	112836786	112840662	+
ADRA2B	2	96778623	96782310	-
ADRA2C	4	3768111	3770253	+
ADRB1	10	115803624	115806663	+
ADRB2	5	148206173	148208186	+
ADRB3	8	37820507	37824117	-
ADRM1	20	60877951	60883918	+
ADSL	22	40742503	40783493	+
ADSS1	14	105190565	105213662	+
ADSS2	1	244571793	244615362	-
ADTRP	6	11713755	11779280	-
AEBP1	7	44143943	44154159	+
AEBP2	12	19592425	19675161	+
AEN	15	89164570	89175512	+
AFAP1	4	7760439	7941653	-
AFAP1-AS1	4	7755816	7780654	+
AFAP1L1	5	148651400	148723198	+
AFAP1L2	10	116054582	116164537	-
AFDN	6	168227243	168372703	+
AFDN-DT	6	168224569	168227476	-
AFF1	4	87856153	88062206	+
AFF1-AS1	4	87846045	87856002	-
AFF2	X	147582136	148082193	+
AFF3	2	100161880	100759052	-
AFF4	5	132211086	132299326	-
AFG1L	6	108616257	108847204	+
AFG3L1P	16	90038987	90067195	+
AFG3L2	18	12328942	12377226	-
AFM	4	74347461	74369718	+
AFMID	17	76183397	76203782	+
AFP	4	74301937	74321891	+
AFTPH	2	64751438	64820138	+
AGA	4	178351927	178363657	-
AGAP1	2	236402686	237040437	+
AGAP1-IT1	2	236414394	236416210	+
AGAP10P	10	46173963	46194828	+
AGAP11	10	88730092	88769960	+
AGAP12P	10	49218158	49239658	-
AGAP13P	10	48902265	48922822	-
AGAP14P	10	47708489	47729082	+
AGAP2	12	58117543	58135944	-
AGAP2-AS1	12	58120022	58122139	+
AGAP3	7	150782953	150841521	+
AGAP4	10	46321039	46349325	-
AGAP5	10	75434032	75461086	-
AGAP6	10	51748077	51770276	+
AGAP7P	10	51464143	51486327	-
AGAP9	10	47191843	48237508	+
AGBL1	15	86622850	87572283	+
AGBL1-AS1	15	86840064	86860199	-
AGBL2	11	47681142	47736921	-
AGBL3	7	134671258	134820530	+
AGBL4	1	48998525	50489626	-
AGBL4-AS1	1	49723082	49734966	+
AGBL4-IT1	1	49839872	49937757	-
AGBL5	2	27274290	27293490	+
AGBL5-AS1	2	27272550	27273132	-
AGER	6	32148744	32152099	-
AGFG1	2	228336871	228425933	+
AGFG2	7	100136825	100165843	+
AGGF1	5	76326228	76361058	+
AGK	7	141251209	141355043	+
AGL	1	100315916	100389579	+
AGMAT	1	15898193	15911546	-
AGMO	7	15239941	15601640	-
AGO1	1	36335408	36396132	+
AGO2	8	141530254	141645732	-
AGO3	1	36396705	36538100	+
AGO4	1	36273236	36323490	+
AGPAT1	6	32135988	32145885	-
AGPAT2	9	139567594	139581909	-
AGPAT3	21	45285103	45407471	+
AGPAT4	6	161551001	161695093	-
AGPAT4-IT1	6	161581163	161583014	-
AGPAT5	8	6566162	6619021	+
AGPS	2	178257500	178408562	+
AGR2	7	16831434	16844623	-
AGR3	7	16899035	16921607	-
AGRN	1	955499	991494	+
AGRP	16	67516473	67517450	-
AGT	1	230838269	230881329	-
AGTPBP1	9	88161453	88356944	-
AGTR1	3	148415657	148460790	+
AGTR2	X	115301996	115306227	+
AGTRAP	1	11796141	11810828	+
AGXT	2	241808240	241819917	+
AGXT2	5	34998206	35048054	-
AHCTF1	1	247002399	247095250	-
AHCTF1P1	2	162355577	162364413	-
AHCY	20	32868070	32899608	-
AHCYL1	1	110527386	110566364	+
AHCYL2	7	128864870	129070052	+
AHDC1	1	27860755	27930655	-
AHI1	6	135604670	135818903	-
AHNAK	11	62201015	62314278	-
AHNAK2	14	105403589	105444711	-
AHR	7	17338275	17385771	+
AHRR	5	321828	438397	+
AHSA1	14	77924209	77935815	+
AHSA2P	2	61404552	61416060	+
AHSG	3	186330848	186339107	+
AHSP	16	31539220	31540125	+
AICDA	12	8754765	8765455	-
AIDA	1	222841354	222885833	-
AIF1	6	31583010	31584792	+
AIF1L	9	133971862	133998539	+
AIFM1	X	129263337	129299861	-
AIFM2	10	71872022	71892690	-
AIFM3	22	21319459	21335647	+
AIG1	6	143380499	143665020	+
AIM2	1	159032273	159046691	-
AIMP1	4	107236766	107270613	+
AIMP2	7	6048875	6063465	+
AIP	11	67250496	67258579	+
AIPL1	17	6327057	6338441	-
AIRE	21	45705758	45718531	+
AIRN	6	160424322	160428696	-
AJAP1	1	4714668	4852582	+
AJM1	9	139736929	139741797	+
AJUBA	14	23440385	23451760	-
AK1	9	130628758	130641900	-
AK2	1	33473540	33502512	-
AK3	9	4709555	4742043	-
AK4	1	65613231	65697828	+
AK5	1	77747703	78025651	+
AK6	5	68646810	68665651	-
AK7	14	96858464	96955764	+
AK8	9	135600964	135754433	-
AK9	6	109814058	110012415	-
AKAIN1	18	5142909	5197751	-
AKAP1	17	55162606	55198705	+
AKAP10	17	19807615	19881169	-
AKAP11	13	42846287	42897397	+
AKAP12	6	151561101	151679697	+
AKAP13	15	85923833	86292589	+
AKAP14	X	119029855	119054679	+
AKAP3	12	4724673	4758217	-
AKAP4	X	49955419	49965658	-
AKAP5	14	64932216	64941221	+
AKAP6	14	32798503	33306889	+
AKAP7	6	131456606	131604672	+
AKAP8	19	15464195	15490598	-
AKAP8L	19	15490860	15529799	-
AKAP9	7	91570175	91739987	+
AKIP1	11	8932735	8941626	+
AKIRIN1	1	39456915	39471737	+
AKIRIN2	6	88384577	88411951	-
AKNA	9	117096435	117156685	-
AKNAD1	1	109358524	109400866	-
AKR1A1	1	46016454	46035723	+
AKR1B1	7	134127101	134143991	-
AKR1B10	7	134212318	134226164	+
AKR1B15	7	134233861	134264621	+
AKR1C1	10	5005606	5025474	+
AKR1C2	10	5029967	5060225	-
AKR1C3	10	5090957	5149878	+
AKR1C4	10	5238799	5260912	+
AKR1C6P	10	4913858	4958465	-
AKR1C8P	10	5196654	5227150	-
AKR1D1	7	137761204	137803051	+
AKR1E2	10	4868368	4890251	+
AKR7A2	1	19629201	19638640	-
AKR7A2P1	1	113465971	113467295	+
AKR7A3	1	19609066	19615264	-
AKR7L	1	19592475	19600616	-
AKT1	14	105235685	105262085	-
AKT1S1	19	50372289	50381613	-
AKT2	19	40736223	40791252	-
AKT3	1	243651534	244014381	-
AKTIP	16	53524951	53537216	-
ALAD	9	116148591	116163618	-
ALAS1	3	52232098	52248343	+
ALAS2	X	55035487	55057410	-
ALB	4	74270003	74287199	+
ALCAM	3	105085556	105295744	+
ALDH16A1	19	49956481	49974307	+
ALDH18A1	10	97365699	97416468	-
ALDH1A1	9	75515586	75567969	-
ALDH1A2	15	58245621	58358121	-
ALDH1A3	15	101420035	101456830	+
ALDH1B1	9	38392698	38398657	+
ALDH1L1	3	125822403	125900029	-
ALDH1L1-AS1	3	125822482	125826912	+
ALDH1L1-AS2	3	125898907	125929011	+
ALDH1L2	12	105413567	105478236	-
ALDH2	12	112204736	112255335	+
ALDH3A1	17	19641297	19651611	-
ALDH3A2	17	19551462	19580909	+
ALDH3B1	11	67776016	67796743	+
ALDH3B2	11	67429625	67448695	-
ALDH4A1	1	19197923	19229293	-
ALDH5A1	6	24495196	24537435	+
ALDH6A1	14	74523549	74551156	-
ALDH7A1	5	125877532	125930911	-
ALDH8A1	6	135238530	135271239	-
ALDH9A1	1	165631448	165667900	-
ALDOA	16	30075599	30081741	+
ALDOB	9	104182841	104198056	-
ALDOC	17	26900137	26903913	-
ALG1	16	5121843	5137380	+
ALG10	12	34175430	34181236	+
ALG10B	12	38710575	38723523	+
ALG11	13	52586533	52607736	+
ALG12	22	50293876	50312086	-
ALG13	X	110924397	111003875	+
ALG14	1	95439960	95538507	-
ALG14-AS1	1	95527151	95533101	+
ALG1L	3	125648114	125709380	-
ALG1L2	3	129800673	129817233	+
ALG1L9P	11	71505408	71524905	-
ALG2	9	101978706	101984224	-
ALG3	3	183960088	183967313	-
ALG5	13	37523874	37573504	-
ALG6	1	63833297	63904223	+
ALG8	11	77811987	77850699	-
ALG9	11	111652918	111742305	-
ALK	2	29415639	30144452	-
ALKAL1	8	53446596	53477990	-
ALKAL2	2	279557	288091	-
ALKBH1	14	78138746	78174366	-
ALKBH2	12	109525992	109531293	-
ALKBH3	11	43902380	43941824	+
ALKBH3-AS1	11	43930839	43942494	-
ALKBH4	7	102096689	102105310	-
ALKBH5	17	18087141	18113267	+
ALKBH6	19	36500021	36505141	-
ALKBH7	19	6372804	6375261	+
ALKBH8	11	107373452	107436461	-
ALLC	2	3705789	3750260	+
ALMS1	2	73612885	73837046	+
ALMS1-IT1	2	73684229	73686604	+
ALMS1P1	2	73872045	73912694	+
ALOX12	17	6899367	6914073	+
ALOX12-AS1	17	6888441	6915653	-
ALOX12B	17	7975953	7991034	-
ALOX12P2	17	6756894	6803668	+
ALOX15	17	4534213	4544973	-
ALOX15B	17	7942357	7952451	+
ALOX15P1	17	6561037	6564701	+
ALOX5	10	45869613	45941567	+
ALOX5AP	13	31287614	31338565	+
ALOXE3	17	7999217	8022234	-
ALPG	2	233271553	233275424	+
ALPI	2	233320862	233325463	+
ALPK1	4	113218498	113363777	+
ALPK2	18	56148481	56296323	-
ALPK3	15	85360586	85416708	+
ALPL	1	21835476	21904903	+
ALPP	2	233243460	233247599	+
ALS2	2	202564989	202645656	-
ALS2CL	3	46710484	46735169	-
ALX1	12	85673997	85695561	+
ALX3	1	110602491	110613294	-
ALX4	11	44281989	44331689	-
ALYREF	17	79845710	79849463	-
AMACR	5	33986269	34008155	-
AMBN	4	71457972	71473004	+
AMBP	9	116822407	116840580	-
AMBRA1	11	46417961	46615573	-
AMD1	6	111135823	111216915	+
AMDHD1	12	96337108	96362498	+
AMDHD2	16	2570371	2581418	+
AMELX	X	11311532	11318881	+
AMELY	Y	6733958	6742068	-
AMER1	X	63404996	63425588	-
AMER2	13	25735816	25746421	-
AMER3	2	131513112	131525707	+
AMFR	16	56395363	56459457	-
AMH	19	2249321	2252072	+
AMHR2	12	53817638	53825456	+
AMIGO1	1	110046799	110052349	-
AMIGO2	12	47469489	47473742	-
AMIGO3	3	49754261	49757117	-
AMMECR1	X	109437413	109683461	-
AMMECR1L	2	128619206	128643530	-
AMN	14	103388999	103397179	+
AMN1	12	31824070	31882108	-
AMOT	X	112017730	112084059	-
AMOTL1	11	94501521	94609913	+
AMOTL2	3	134074186	134094259	-
AMPD1	1	115215719	115238239	-
AMPD2	1	110162434	110174677	+
AMPD3	11	10471867	10529126	+
AMPH	7	38423296	38671167	-
AMT	3	49454210	49459906	-
AMTN	4	71384285	71398460	+
AMY1A	1	104198140	104301311	+
AMY1B	1	104198324	104301310	-
AMY1C	1	104198137	104301314	+
AMY2A	1	104159953	104168402	+
AMY2B	1	104097265	104122156	+
AMZ1	7	2719155	2804772	+
AMZ2	17	66202269	66253305	+
AMZ2P1	17	62962667	62971703	-
ANAPC1	2	112525216	112641770	-
ANAPC10	4	145915726	146019693	-
ANAPC11	17	79848665	79858409	+
ANAPC13	3	134196545	134204865	-
ANAPC15	11	71817418	71823822	-
ANAPC16	10	73975757	73995618	+
ANAPC1P1	2	87088947	87122165	+
ANAPC1P2	2	87257797	87303536	-
ANAPC1P4	2	88000501	88038768	+
ANAPC1P6	2	106986200	106992994	+
ANAPC2	9	140069235	140083012	-
ANAPC4	4	25378884	25420120	+
ANAPC5	12	121746047	121792012	-
ANAPC7	12	110810704	110841535	-
ANG	14	21152335	21162345	+
ANGEL1	14	77252351	77279225	-
ANGEL2	1	213165523	213189217	-
ANGPT1	8	108261709	108510146	-
ANGPT2	8	6357153	6420766	-
ANGPT4	20	850542	896977	-
ANGPTL1	1	178818669	178840212	-
ANGPTL2	9	129849626	129884914	-
ANGPTL3	1	63063190	63071984	+
ANGPTL4	19	8429038	8439254	+
ANGPTL5	11	101761404	101787253	-
ANGPTL6	19	10203012	10213425	-
